date,time,zenith,AtomosMass
07/08/2018,09:18:31,51.1994542231113,1.59243113257754
07/08/2018,09:10:26,49.6899829316092,1.54267520012907
07/08/2018,09:03:31,48.4061649285604,1.50353022645452
07/08/2018,08:56:28,47.1060629776116,1.46658662855113
07/08/2018,08:48:32,45.654684241096,1.42827020200076
07/08/2018,08:40:26,44.1872815556858,1.39239139513867
07/08/2018,08:33:31,42.9473734108786,1.36412774543284
07/08/2018,08:18:32,40.3101241883444,1.30962626395159
07/08/2018,08:14:27,39.6046449306584,1.29623083041163
07/08/2018,08:04:57,37.9887239112084,1.26726399147143
07/08/2018,07:58:26,36.9030276169519,1.24906398444958
07/08/2018,07:48:33,35.2967490815841,1.22386356574157
07/08/2018,07:40:27,34.021286594234,1.20522645549416
07/08/2018,07:33:33,32.9677258781526,1.1906919183492
07/08/2018,07:18:32,30.7963860372941,1.16302682031217
07/08/2018,07:14:27,30.238604103248,1.15639054130044
07/08/2018,07:04:57,29.0026913049491,1.14233313200414
07/08/2018,06:58:27,28.211672961641,1.13378751104267
07/08/2018,06:48:33,27.1024626208077,1.12237338793054
07/08/2018,06:40:28,26.2915712276372,1.11443481972348
07/08/2018,06:33:32,25.6708067332608,1.10858184205235
07/08/2018,06:18:34,24.5918176137554,1.09885719614462
07/08/2018,06:14:29,24.3643366307674,1.09687803267651
07/08/2018,06:04:58,23.9533413846908,1.09336372474554
07/08/2018,05:58:27,23.7716029732419,1.09183473588352
07/08/2018,05:48:33,23.6553782553836,1.09086489659714
07/08/2018,05:39:57,23.7127096128176,1.09134252378954
07/08/2018,05:18:33,24.4809599427251,1.09788964772426
07/08/2018,05:14:27,24.7251973547968,1.10002902672012
07/08/2018,05:04:58,25.4006137643382,1.1060937649144
07/08/2018,04:58:27,25.9490576463473,1.11118166903647
07/08/2018,04:48:34,26.9010217956272,1.12036983773171
07/08/2018,04:40:27,27.7816271716364,1.12928461964111
07/08/2018,04:33:32,28.5955680398007,1.13789181664095
07/08/2018,04:18:32,30.5370715046843,1.15991851304753
07/08/2018,04:14:26,31.1050328790525,1.16677938555373
07/08/2018,04:04:58,32.4698051981621,1.18408181659873
07/08/2018,03:58:27,33.4485840282945,1.19723191956383
07/08/2018,03:48:32,34.9921794260017,1.21930614416683
07/08/2018,03:40:27,36.2932178156414,1.23926121098617
07/08/2018,03:33:32,37.4334090557333,1.25783307491589
07/08/2018,03:25:27,38.7939295655347,1.28140761818668
07/08/2018,03:18:32,39.9795201248728,1.30329007472858
07/08/2018,03:10:27,41.3873368053883,1.33101530202897
07/08/2018,03:03:31,42.6119121144545,1.35678438790258
07/08/2018,02:56:31,43.8624807040472,1.38481251993473
07/08/2018,02:48:32,45.3042333400828,1.41945011138383
07/08/2018,02:40:27,46.7788884220264,1.45768947413924
07/08/2018,02:33:31,48.0541982062264,1.4932708386937
07/08/2018,02:25:26,49.5516827987481,1.53832363555666
07/08/2018,02:18:31,50.8409921102514,1.58022832098807
07/08/2018,02:02:07,53.9219662362547,1.69387316170631
07/08/2018,01:59:25,54.4318724702626,1.71476305936386
07/08/2018,01:43:25,57.4651437474597,1.85366719637284
07/08/2018,01:30:24,59.9434794551459,1.98939351371076
07/08/2018,01:21:25,61.6571232121492,2.09784264963675
07/08/2018,01:14:53,62.9042400611742,2.18574348207394
07/08/2018,01:02:17,65.309516150271,2.38115739258241
07/08/2018,00:58:25,66.0472872765491,2.44914899065023
07/08/2018,00:51:49,67.3057859381176,2.57550054258392
07/08/2018,00:49:08,67.8170753887356,2.63097911189868
07/08/2018,00:43:33,68.8800714017701,2.75498696117906
07/08/2018,00:35:17,70.4513009035582,2.96305200854432
07/08/2018,00:28:39,71.7092788197843,3.15530170861034
07/08/2018,00:22:49,72.8130717677645,3.34691817079467
07/08/2018,00:20:02,73.3388232229201,3.44697356477217
07/08/2018,00:18:05,73.7067838721966,3.52076709483353
07/08/2018,00:08:56,75.4287619392524,3.91434566994997
07/08/2018,00:01:23,76.8431548231531,4.31196394356799
06/08/2018,23:59:24,77.2136121913896,4.43002967568416
06/08/2018,23:53:16,78.3560413003098,4.83897243934634
06/08/2018,23:47:36,79.4068519561381,5.28813248242996
06/08/2018,23:42:50,80.2868514778282,5.73344734748339
06/08/2018,23:38:49,81.0252938905521,6.16861262973949
06/08/2018,23:35:27,81.641830546066,6.58494994407434
06/08/2018,12:02:41,82.0374557645629,6.88233390805806
06/08/2018,11:59:15,81.4099211162155,6.4220395971404
06/08/2018,11:55:14,80.6726885064286,5.95298022415957
06/08/2018,11:50:28,79.7939137295617,5.47524793564325
06/08/2018,11:45:58,78.9608102815586,5.08769436059149
